Samples	axisX	axisY	axisZ	DB	Tissue
GSM1567917	0.19326396	10.934521	5.7406974	GEO	Heart
GSM1567918	0.20168257	10.946031	5.7414465	GEO	Heart
GSM1567919	0.2096918	10.954637	5.7517223	GEO	Heart
GSM1567920	0.20455708	10.941067	5.7521143	GEO	Heart
GSM1567921	0.18879198	10.978556	5.756543	GEO	Heart
GSM1567922	-0.14171325	10.458958	5.884555	GEO	Heart
GSM1567930	-0.10069697	10.478277	5.8735332	GEO	Kidney
GSM1567931	-0.099815734	10.485416	5.8948774	GEO	Kidney
GSM1567932	-0.10813666	10.46345	5.8726697	GEO	Kidney
GSM1567933	-0.10382211	10.470277	5.8680944	GEO	Lung
GSM1567934	-0.041840296	10.563576	5.86298	GEO	Lung
GSM1567935	-0.101556115	10.484572	5.914391	GEO	Lung
GSM1567936	-0.060740046	10.540408	5.873559	GEO	Lung
GSM1567937	-0.0956242	10.49946	5.90366	GEO	Lung
GSM1567938	-0.08122433	10.527395	5.8624697	GEO	Lung
GSM1567939	-0.10423911	10.47294	5.8613586	GEO	Stomach
GSM1567940	0.24362548	11.241269	5.7030644	GEO	Stomach
GSM1567941	0.23529176	11.203629	5.698278	GEO	Stomach
GSM1567942	0.24674724	11.211621	5.7000146	GEO	Stomach
GSM1567943	0.23791248	11.227615	5.7017956	GEO	Stomach
GSM1567944	0.012778404	10.675413	5.82757	GEO	Stomach
GSM1567945	8.332512	0.46642634	8.951485	GEO	Stomach
GSM1583160	8.288124	0.26999968	8.996248	GEO	Thyroid
GSM1583161	8.392972	0.3105984	9.009921	GEO	Thyroid
GSM1583162	8.182093	1.5041581	8.543772	GEO	Thyroid
GSM1583163	8.306732	1.3769963	8.47269	GEO	Thyroid
GSM1583164	8.430136	1.2223245	8.503723	GEO	Thyroid
GSM1583165	8.308995	0.27011588	8.923878	GEO	Thyroid
GSM1583166	8.338473	0.28472775	8.950563	GEO	Thyroid
GSM1583167	8.626855	1.0192914	8.592835	GEO	Thyroid
GSM1583168	5.4827833	-2.1731188	-0.10276999	GEO	Thyroid
GSM1583170	4.3017964	2.7397025	5.229983	GEO	Thyroid
GSM1583171	8.309988	1.361652	8.490092	GEO	Thyroid
GSM1583172	9.513555	1.0198717	8.915674	GEO	Thyroid
GSM1583173	8.039791	7.233228	2.1599207	GEO	Thyroid
GSM1583174	8.409698	1.2428586	8.470822	GEO	Thyroid
GSM1583175	8.023366	7.300988	2.0939674	GEO	Thyroid
GSM1583176	8.735404	0.919578	8.660555	GEO	Thyroid
GSM1583177	9.123741	0.68207645	8.945814	GEO	Thyroid
GSM1583178	8.718875	0.9070706	8.656747	GEO	Thyroid
GSM1583179	8.305278	7.5096617	1.8815118	GEO	Thyroid
GSM1583180	0.11611093	11.250306	4.3307815	GEO	Thyroid
GSM1657894	-1.6065185	3.671334	1.1299441	GEO	Brain
GSM1658013	0.53000355	1.3382504	2.6873205	GEO	Brain
GSM1678010	0.6367319	1.2912455	2.741939	GEO	Prostate
GSM1678011	9.492844	3.7283711	5.1627483	GEO	Prostate
GSM1678012	2.840814	1.7339503	5.1309414	GEO	Prostate
GSM1678013	7.652744	-2.1482258	1.6007227	GEO	Prostate
GSM1695162	5.0625296	4.123461	5.885489	GEO	Blood
GSM1695905	5.0773587	4.367793	6.16632	GEO	Brain
GSM1695906	6.562987	8.3416	6.8163204	GEO	Brain
GSM1695907	5.307574	5.0086412	5.1775413	GEO	Heart
GSM1695908	10.470965	0.33067536	4.4871283	GEO	Heart
GSM1695909	3.6834955	-2.6329389	0.98858154	GEO	Liver
GSM1695911	6.2083383	7.4970922	5.1943035	GEO	Testis
GSM1695913	0.65013856	10.328853	-5.524164	GEO	Testis
GSM1807973	0.6500042	10.328963	-5.5243974	GEO	Liver
GSM1807974	0.65038055	10.328498	-5.5237274	GEO	Liver
